X,Y,Z,gX,gY,gZ,
3.111328125,2.09375,9.1328125,-0.045806885,-0.045806885,0.008522034,0
3.107421875,2.001953125,9.1640625,-0.059661865,-0.05859375,0.013847351,0
3.154296875,2.009765625,9.125,-0.061798096,-0.050079346,0.007457733,0
3.125,2.095703125,9.1171875,-0.03302002,-0.031951904,0.001065254,0
3.115234375,2.15625,9.1015625,-0.015975952,-0.02557373,-0.006393433,0
3.076171875,2.16015625,9.0625,0.003196716,0.004261017,-0.009590149,0
3.076171875,2.125,9.0703125,0.017044067,0.02557373,-0.007457733,0
3.1875,2.05859375,9.140625,0.02130127,0.034088135,-0.007457733,0
3.263671875,1.965820313,9.1953125,0.010650635,0.030899048,-0.001065254,0
3.220703125,1.98828125,9.171875,-0.013847351,-0.006393433,0.010650635,0
3.12109375,2.0859375,9.140625,-0.045806885,-0.045806885,0.008522034,0
3.044921875,2.181640625,9.1015625,-0.059661865,-0.05859375,0.013847351,0
3.013671875,2.171875,9.1015625,-0.061798096,-0.050079346,0.007457733,0
3.099609375,2.056640625,9.078125,-0.039428711,-0.03729248,-0.007457733,0
3.16015625,2.02734375,9.1484375,-0.0234375,-0.03729248,-0.02557373,0
3.181640625,2.064453125,9.2109375,-0.018112183,-0.02557373,-0.030899048,0
3.185546875,2.0546875,9.15625,-0.01171875,-0.002130508,-0.031951904,0
3.16796875,2.0546875,9.09375,-0.001065254,0.02130127,-0.024505615,0
3.16015625,2.08984375,9.0546875,0.024505615,0.03515625,-0.008522034,0
3.08984375,2.126953125,9.078125,0.039428711,0.031951904,0,0
3.078125,2.08984375,9.140625,0.027694702,0.024505615,-0.012786865,0
3.185546875,1.9921875,9.1875,0.010650635,0.022369385,-0.012786865,0
3.220703125,1.984375,9.15625,-0.02130127,0,-0.006393433,0
3.158203125,2.02734375,9.140625,-0.047943115,-0.022369385,-0.004261017,0
3.138671875,2.068359375,9.078125,-0.042602539,-0.01171875,0.012786865,0
3.18359375,2.119140625,9.109375,-0.03515625,-0.008522034,-0.010650635,0
3.138671875,2.115234375,9.1328125,-0.026626587,-0.014915466,-0.034088135,0
3.076171875,2.01171875,9.09375,-0.018112183,-0.012786865,-0.022369385,0
3.05078125,2.05078125,9.125,-0.01171875,0,-0.01171875,0
3.107421875,2.123046875,9.1796875,0.004261017,0.014915466,0.012786865,0
3.115234375,2.05078125,9.15625,0.005325317,0,0.03515625,0
3.064453125,2.01171875,9.1328125,-0.008522034,-0.051147461,0.03515625,0
3.107421875,2.06640625,9.125,-0.015975952,-0.083068848,0.039428711,0
3.234375,2.046875,9.1171875,-0.077758789,-0.076721191,-0.098022461,0
3.251953125,1.969726563,9.09375,-0.0703125,-0.062866211,-0.109741211,0
3.146484375,1.993164063,9.1640625,-0.07244873,-0.065002441,-0.108642578,0
3.2421875,2.052734375,9.15625,-0.07989502,-0.092651367,-0.102294922,0
3.2265625,2.04296875,9.1328125,-0.09588623,-0.10546875,-0.096923828,0
3.01953125,2.107421875,9.09375,-0.123596191,-0.112915039,-0.098022461,0
2.88671875,2.091796875,9.046875,-0.153442383,-0.11932373,-0.111877441,0
3.0703125,2.015625,9.078125,-0.166137695,-0.111877441,-0.125732422,0
3.208984375,2.033203125,9.1328125,-0.161865234,-0.09161377,-0.126831055,0
3.158203125,2.01171875,9.15625,-0.166137695,-0.094787598,-0.11505127,0
3.203125,2.021484375,9.1953125,-0.197021484,-0.098022461,-0.086303711,0
3.224609375,1.885742188,9.15625,-0.236450195,-0.09161377,-0.08203125,0
3.17578125,1.982421875,9.21875,-0.288574219,-0.118225098,-0.087341309,0
3.12109375,2.03125,9.15625,-0.343017578,-0.139526367,-0.090576172,0
2.98828125,2.111328125,9.1328125,-0.382324219,-0.130004883,-0.138427734,0
3.06640625,2.1875,9.109375,-0.338867188,-0.043670654,-0.19921875,0
3.068359375,2.14453125,9.046875,-0.443115234,-0.140625,-0.03515625,0
3.044921875,2.107421875,9.1015625,-0.593261719,-0.214111328,-0.018112183,0
2.98828125,1.998046875,9.15625,-0.645507813,-0.221557617,-0.204589844,0
3.109375,1.928710938,9.2421875,-0.649902344,-0.202392578,-0.22265625,0
3.251953125,1.895507813,9.2734375,-0.942871094,-0.364257813,-0.36328125,0
3.224609375,1.919921875,9.2265625,-1.278320313,-0.568847656,-0.546386719,0
3.11328125,1.94921875,9.09375,-1.39453125,-0.745605469,-0.649902344,0
2.986328125,2.0234375,9.046875,-1.3046875,-0.8671875,-0.813964844,0
2.892578125,2.154296875,9.0234375,-1.104492188,-0.807617188,-1.0234375,0
